iter	MAE	RMSE
0	2233.101926	3037.207501
1	2148.736461	2928.121308
2	2067.229494	2826.313362
3	1993.051322	2728.579593
4	1922.230657	2638.080265
5	1855.545884	2552.156848
6	1792.550464	2471.994157
7	1733.622408	2394.770166
8	1677.181521	2322.947845
9	1623.798084	2255.633935
10	1574.538778	2192.787617
11	1529.663147	2132.368699
12	1487.086573	2075.241567
13	1447.821246	2023.440123
14	1409.814014	1974.321948
15	1374.794357	1928.166226
16	1342.344282	1884.33057
17	1310.767083	1844.144487
18	1281.424471	1806.133906
19	1253.434558	1770.449934
20	1227.396766	1736.02359
21	1201.75312	1703.355012
22	1178.651214	1673.492877
23	1156.615858	1646.267675
24	1136.681512	1620.270994
25	1117.260356	1595.824096
26	1099.561037	1573.136107
27	1082.831842	1551.091085
28	1068.14779	1530.894615
29	1053.278466	1511.527213
30	1038.642295	1492.897315
31	1026.149366	1476.270359
32	1014.380256	1460.538558
33	1003.323575	1446.278018
34	991.8065654	1431.706651
35	982.1798436	1418.753872
36	972.3554965	1406.108594
37	963.906606	1394.323615
38	955.8055264	1382.944073
39	947.1415221	1371.497768
40	940.1190937	1361.478758
41	933.4293594	1352.398505
42	926.9563184	1342.942465
43	920.5507146	1334.123241
44	915.0036194	1326.169505
45	910.0929006	1318.66719
46	905.0830521	1311.361031
47	900.4431995	1305.067685
48	895.5327701	1298.324732
49	892.0336881	1292.18854
50	887.394264	1285.186049
51	883.9836019	1279.702842
52	880.0899134	1274.177965
53	875.967043	1268.488093
54	872.2359641	1262.865542
55	868.7116504	1258.016366
56	864.109347	1251.665326
57	861.5192089	1247.709906
58	858.2057889	1243.204286
59	854.2421808	1237.688462
60	851.5299509	1233.715323
61	848.6444513	1229.656161
62	845.9066353	1225.633957
63	843.6582743	1221.091281
64	841.1123148	1217.674599
65	839.5033194	1214.161512
66	837.1784334	1211.055467
67	834.9404018	1207.313911
68	833.0334468	1204.414055
69	831.0225331	1201.555821
70	829.0356989	1198.985048
71	826.8496488	1195.518359
72	825.1007514	1192.841142
73	822.6120812	1189.425393
74	821.3842417	1186.690708
75	818.3881773	1182.664529
76	816.7752592	1180.199147
77	815.7426823	1177.690411
78	813.2318432	1174.044177
79	811.562902	1170.971086
80	809.0763508	1167.56949
81	807.6362717	1165.792072
82	805.2042305	1163.201308
83	804.240516	1161.35249
84	802.8619781	1159.248286
85	801.4130586	1156.914216
86	798.893821	1154.006557
87	797.5764904	1151.267423
88	795.4134412	1148.241776
89	794.0465143	1146.324072
90	792.5697018	1144.110675
91	790.1404628	1141.342105
92	789.2166724	1139.434146
93	787.7449269	1136.869717
94	786.6270103	1134.741538
95	785.6659171	1132.963842
96	783.5010811	1130.501215
97	781.9890756	1128.72557
98	780.7553441	1126.826262
99	778.7174562	1124.804919
100	775.9407469	1121.58883
101	774.864746	1119.859155
102	773.1306312	1117.849105
103	772.0391976	1116.185095
104	770.0886891	1113.494823
105	768.8625001	1111.636933
106	767.9448096	1110.372197
107	766.5582077	1108.269544
108	764.5505022	1105.57675
109	763.5475891	1104.140986
110	761.7603454	1101.688928
111	759.621438	1098.929744
112	757.6797428	1096.830118
113	756.6252742	1094.82587
114	755.864181	1093.056243
115	754.6600078	1091.955136
116	753.0128521	1090.172637
117	752.0607995	1088.863477
118	750.5474668	1086.989495
119	749.2721768	1085.243444
120	748.1704935	1083.978139
121	746.8209826	1082.435799
122	745.8702116	1080.824949
123	744.6725972	1078.989103
124	744.0612215	1077.522436
125	742.9813745	1075.925332
126	741.5843571	1074.07711
127	740.6245186	1072.245083
128	740.1028474	1071.280233
129	739.3231511	1069.985959
130	738.7033819	1068.547286
131	737.8385751	1067.482378
132	736.6798072	1066.13923
133	735.4013844	1064.724298
134	734.183374	1063.418687
135	733.3705641	1061.971474
136	732.9442323	1061.047303
137	732.0686201	1059.73428
138	731.1682079	1058.78798
139	730.3025199	1057.283487
140	729.8568973	1056.202373
141	728.5510619	1054.586914
142	728.1015013	1053.607237
143	727.2920367	1052.297735
144	726.4822056	1051.009371
145	725.2871416	1049.689394
146	724.9735321	1049.016085
147	724.2236634	1047.718365
148	723.3342982	1046.452951
149	722.5679193	1045.587905
150	721.3787006	1044.045803
151	720.6383679	1042.813273
152	720.0441447	1041.822405
153	718.9405544	1040.737834
154	718.638679	1039.979285
155	717.9140698	1038.708869
156	716.8525845	1037.452804
157	715.8331474	1036.347784
158	715.1940034	1035.719324
159	714.8379521	1035.115199
160	714.2047258	1034.404175
161	713.7168462	1033.404927
162	712.9736226	1032.165858
163	712.1576771	1031.185787
164	711.5989453	1029.95768
165	710.9772106	1029.159748
166	710.2845536	1028.450871
167	709.4856828	1027.293135
168	708.6910454	1026.353211
169	707.7489531	1025.118384
170	707.2990542	1024.151339
171	706.3649932	1023.062679
172	706.1162665	1022.35707
173	705.2824912	1021.432916
174	704.7601911	1020.524641
175	704.2976607	1019.655093
176	703.5782107	1018.735753
177	703.0340714	1017.917074
178	702.1530563	1016.839133
179	701.4919549	1015.980748
180	700.7810218	1015.203834
181	700.4252953	1014.594453
182	699.7742437	1013.553243
183	699.2969543	1012.815063
184	698.7232994	1012.200073
185	698.2835276	1011.645977
186	698.192514	1011.237539
187	697.5433752	1010.307534
188	696.9985615	1009.662844
189	696.4326246	1008.669345
190	695.5643631	1007.67405
191	695.0936955	1006.986246
192	694.5927662	1006.217974
193	694.28034	1005.582825
194	693.8281744	1004.882455
195	693.2412506	1004.195288
196	692.9170543	1003.763644
197	692.6969781	1003.221635
198	692.3970436	1002.830618
199	691.7464007	1002.032532
200	691.3104923	1001.525803
201	690.8287653	1000.591382
202	690.5365049	1000.101606
203	690.2979476	999.5024139
204	690.0954554	999.1162852
205	689.8370504	998.6011795
206	689.1768462	997.7764733
207	688.8037642	997.2122186
208	688.5909915	996.6677411
209	687.9473873	995.7150035
210	687.2675745	994.8192006
211	686.7693472	994.2105231
212	686.2268721	993.3552938
213	685.8850283	992.8694666
214	685.2221122	992.1030989
215	684.7746353	991.7371948
216	684.2987805	991.0794327
217	683.8995809	990.5518597
218	683.2789651	989.9063003
219	682.9691741	989.2997167
220	682.5753246	988.8537512
221	681.8959318	988.089589
222	681.356759	987.3490715
223	680.9027059	986.4663543
224	680.7725178	986.010521
225	680.4068299	985.595219
226	680.0334928	985.0382676
227	679.5209779	984.4271793
228	679.0956363	983.6469251
229	678.8133912	982.9807643
230	678.2767052	982.4122521
231	677.6733631	981.4414375
232	677.3412356	980.9324676
233	677.0035403	980.3009432
234	676.879169	979.9933747
235	676.5235693	979.6882324
236	676.3037829	979.1897031
237	675.7930979	978.5953924
238	675.5079625	978.1408664
239	675.0197137	977.5877532
240	674.5833514	977.0509874
241	673.9808474	976.3207091
242	673.4783546	975.758055
243	673.3365573	975.3346515
244	672.9149484	974.884465
245	672.596997	974.498461
246	672.1281129	973.664745
